AGS,Ort,2_Stimmen AfD,2_Stimmen CDU,2_Stimmen Die Linke,2_Stimmen FDP,2_Stimmen Grüne,2_Stimmen SPD,2_Stimmen Ungültige Stimmen,2_Stimmen andere Parteien,2_Stimmen gültige Stimmen,2_Anteil AfD,2_Anteil CDU,2_Anteil Die Linke,2_Anteil FDP,2_Anteil Grüne,2_Anteil SPD,2_Anteil Ungültige Stimmen,2_Anteil andere Parteien,2_Anteil gültige Stimmen,WKNr,Stimmen Wahlberechtigte,Stimmen Wähler,Anteil Wahlberechtigte,Anteil Wähler,Wahl,WK-Nr,WK-Name,Ebene,Ortname,Briefwahl_Sonderfall,Wahlberechtigte,Wähler,ungültige_1,gültige_1,CDU_1,DIE LINKE_1,SPD_1,AfD_1,GRÜNE_1,NPD_1,FDP_1,PIRATEN_1,FREIE WÄHLER_1,BüSo_1,MLPD_1,ÖDP_1,Die PARTEI_1,Bürgerkandidat_1,Der Auserwählte_1,Heimat Region Zwickau_1,Held_1,Hoyer_1,Internationalistisch. Bündnis_1,RINK_1,SGP_1,Wir sind LEIPZIGER_1,ungültige_2,gültige_2,CDU_2,DIE LINKE_2,SPD_2,AfD_2,GRÜNE_2,NPD_2,FDP_2,PIRATEN_2,FREIE WÄHLER_2,BüSo_2,MLPD_2,BGE_2,DiB_2,ÖDP_2,Die PARTEI_2,Tierschutzpartei_2,V-Partei³_2,2_Gewinner
14521140,Deutschneudorf,150,71,72,71,9,141,6,69,583,25.7,12.2,12.3,12.2,1.5,24.2,1.0,11.8,99.0,164,798,589,100.0,73.8,BW17,164,Erzgebirgskreis I,GE,Deutschneudorf,,850,500,12,488,148,39,35,201,12,x,51,x,x,x,x,x,x,x,x,x,2,x,x,x,x,x,12,488,134,39,33,192,8,5,62,0,3,1,0,2,0,0,3,4,2,AfD
14521150,Drebach,692,348,355,225,53,702,27,406,2781,24.9,12.5,12.8,8.1,1.9,25.2,1.0,14.6,99.0,164,4138,2808,100.0,67.9,BW17,164,Erzgebirgskreis I,GE,Drebach,,4215,3389,69,3320,1251,422,302,957,81,x,281,x,x,x,x,x,x,x,x,x,26,x,x,x,x,x,67,3322,1150,382,306,929,61,50,270,10,43,1,2,17,7,17,33,42,2,SPD
14521160,"Ehrenfriedersdorf, Stadt",904,442,443,294,58,897,35,560,3598,25.1,12.3,12.3,8.2,1.6,24.9,1.0,15.6,99.0,164,3903,3633,100.0,93.1,BW17,164,Erzgebirgskreis I,GE,"Ehrenfriedersdorf, Stadt",,3956,3124,68,3056,1064,464,308,947,63,x,191,x,x,x,x,x,x,x,x,x,19,x,x,x,x,x,45,3079,938,410,312,896,50,55,253,7,46,4,2,10,2,11,27,51,5,AfD
14521170,"Eibenstock, Stadt",1176,602,615,309,101,1214,53,819,4836,24.3,12.4,12.7,6.4,2.1,25.1,1.1,16.9,98.9,164,6070,4889,100.0,80.5,BW17,164,Erzgebirgskreis I,GE,"Eibenstock, Stadt",,6317,4591,81,4510,1770,550,478,1292,127,x,255,x,x,x,x,x,x,x,x,x,38,x,x,x,x,x,91,4500,1579,529,499,1248,94,66,286,8,59,4,1,18,3,13,34,55,4,SPD
14521180,"Elterlein, Stadt",365,189,185,105,33,368,15,234,1479,24.7,12.8,12.5,7.1,2.2,24.9,1.0,15.8,99.0,164,2362,1494,100.0,63.3,BW17,164,Erzgebirgskreis I,GE,"Elterlein, Stadt",,2430,1880,42,1838,600,224,165,638,54,x,133,x,x,x,x,x,x,x,x,x,24,x,x,x,x,x,35,1845,533,205,168,646,42,22,133,9,32,0,1,5,3,4,17,25,0,SPD
14521200,Gelenau/Erzgeb.,625,318,310,201,49,638,24,388,2529,24.7,12.6,12.3,7.9,1.9,25.2,0.9,15.3,99.1,164,3430,2553,100.0,74.4,BW17,164,Erzgebirgskreis I,GE,Gelenau/Erzgeb.,,3555,2827,65,2762,1056,382,244,789,88,x,185,x,x,x,x,x,x,x,x,x,18,x,x,x,x,x,56,2771,952,353,237,709,53,109,218,5,36,0,2,5,3,2,18,64,5,SPD
14521210,"Geyer, Stadt",464,221,221,143,36,444,15,275,1804,25.7,12.3,12.3,7.9,2.0,24.6,0.8,15.2,99.2,164,2886,1819,100.0,63.0,BW17,164,Erzgebirgskreis I,GE,"Geyer, Stadt",J,2994,2437,47,2390,847,400,167,733,64,x,163,x,x,x,x,x,x,x,x,x,16,x,x,x,x,x,37,2400,760,368,197,687,48,38,195,5,39,3,0,6,0,2,13,35,4,AfD
14521220,Gornau/Erzgeb.,555,283,275,213,81,575,24,296,2278,24.4,12.4,12.1,9.4,3.6,25.2,1.0,13.0,99.0,164,3094,2302,100.0,74.4,BW17,164,Erzgebirgskreis I,GE,Gornau/Erzgeb.,,3201,2548,49,2499,897,372,223,690,81,x,215,x,x,x,x,x,x,x,x,x,21,x,x,x,x,x,49,2499,816,333,210,679,86,27,229,11,34,1,4,5,2,8,21,33,0,SPD
14521230,Gornsdorf,271,136,132,89,31,261,6,136,1056,25.7,12.9,12.5,8.4,2.9,24.7,0.6,12.9,99.4,163,1619,1062,100.0,65.6,BW17,163,Chemnitzer Umland - Erzgebirgskreis II,GE,Gornsdorf,,1646,1276,24,1252,452,207,126,313,48,x,106,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,21,1255,364,203,138,344,38,9,105,5,18,1,2,0,0,7,14,7,0,AfD
14521240,Großolbersdorf,468,231,235,146,45,474,13,275,1874,25.0,12.3,12.5,7.8,2.4,25.3,0.7,14.7,99.3,164,2343,1887,100.0,80.5,BW17,164,Erzgebirgskreis I,GE,Großolbersdorf,,2382,1933,49,1884,746,274,189,434,55,x,173,x,x,x,x,x,x,x,x,x,13,x,x,x,x,x,40,1893,695,246,212,442,46,11,151,2,23,1,0,3,6,6,19,28,2,SPD
14521250,Großrückerswalde,459,235,232,122,46,477,14,293,1864,24.6,12.6,12.4,6.5,2.5,25.6,0.7,15.7,99.3,164,2776,1878,100.0,67.7,BW17,164,Erzgebirgskreis I,GE,Großrückerswalde,,2859,2304,60,2244,851,237,208,707,60,x,168,x,x,x,x,x,x,x,x,x,13,x,x,x,x,x,48,2256,784,228,220,698,52,39,149,3,22,2,1,6,5,7,20,20,0,SPD
14521260,"Grünhain-Beierfeld, Stadt",853,421,409,247,60,858,33,512,3360,25.4,12.5,12.2,7.4,1.8,25.5,1.0,15.2,99.0,164,4833,3393,100.0,70.2,BW17,164,Erzgebirgskreis I,GE,"Grünhain-Beierfeld, Stadt",,5037,3783,38,3745,1355,536,307,1217,71,x,236,x,x,x,x,x,x,x,x,x,23,x,x,x,x,x,38,3745,1166,494,362,1111,66,84,280,13,51,2,2,16,1,5,43,42,7,SPD
14521270,Grünhainichen,464,229,227,154,39,464,20,262,1839,25.2,12.5,12.3,8.4,2.1,25.2,1.1,14.2,98.9,164,2681,1859,100.0,69.3,BW17,164,Erzgebirgskreis I,GE,Grünhainichen,J,2881,2309,38,2271,737,340,227,671,58,x,218,x,x,x,x,x,x,x,x,x,20,x,x,x,x,x,29,2280,700,304,227,685,49,12,188,8,23,0,1,4,4,6,31,36,2,AfD
14521280,Heidersdorf,96,45,47,34,8,89,4,46,365,26.3,12.3,12.9,9.3,2.2,24.4,1.1,12.6,98.9,164,656,369,100.0,56.3,BW17,164,Erzgebirgskreis I,GE,Heidersdorf,,662,470,9,461,132,64,38,157,14,x,54,x,x,x,x,x,x,x,x,x,2,x,x,x,x,x,7,463,135,55,38,155,9,5,43,2,6,1,0,0,2,0,6,5,1,AfD
14521290,Hohndorf,570,294,300,159,66,578,19,333,2300,24.8,12.8,13.0,6.9,2.9,25.1,0.8,14.5,99.2,163,3029,2319,100.0,76.6,BW17,163,Chemnitzer Umland - Erzgebirgskreis II,GE,Hohndorf,,3108,2329,43,2286,861,364,235,604,64,x,158,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,31,2298,766,332,237,613,66,21,160,5,27,2,5,4,4,1,21,32,2,SPD
14521310,Jahnsdorf/Erzgeb.,848,433,436,325,83,880,37,440,3445,24.6,12.6,12.7,9.4,2.4,25.5,1.1,12.8,98.9,163,4438,3482,100.0,78.5,BW17,163,Chemnitzer Umland - Erzgebirgskreis II,GE,Jahnsdorf/Erzgeb.,,4590,3721,43,3678,1305,550,286,1135,96,x,306,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,33,3688,1109,521,288,1095,87,96,341,7,29,1,5,11,3,6,33,47,9,SPD
14521320,"Johanngeorgenstadt, Stadt",723,350,353,174,35,704,23,473,2812,25.7,12.4,12.6,6.2,1.2,25.0,0.8,16.8,99.2,164,3329,2835,100.0,85.2,BW17,164,Erzgebirgskreis I,GE,"Johanngeorgenstadt, Stadt",,3497,2498,41,2457,669,458,297,868,32,x,120,x,x,x,x,x,x,x,x,x,13,x,x,x,x,x,33,2465,618,410,297,829,32,43,154,3,15,1,0,3,4,2,14,36,4,AfD
14521330,"Jöhstadt, Stadt",281,147,143,71,24,288,9,202,1156,24.3,12.7,12.4,6.1,2.1,24.9,0.8,17.5,99.2,164,2185,1165,100.0,53.3,BW17,164,Erzgebirgskreis I,GE,"Jöhstadt, Stadt",,2292,1859,40,1819,574,232,155,692,42,x,108,x,x,x,x,x,x,x,x,x,16,x,x,x,x,x,34,1825,536,212,166,646,38,26,113,8,24,2,1,1,0,1,19,28,4,SPD
14521340,Königswalde,203,100,103,48,14,202,5,149,819,24.8,12.2,12.6,5.9,1.7,24.7,0.6,18.2,99.4,164,1761,824,100.0,46.8,BW17,164,Erzgebirgskreis I,GE,Königswalde,,1797,1232,57,1175,479,119,76,397,24,x,68,x,x,x,x,x,x,x,x,x,12,x,x,x,x,x,54,1178,425,106,87,387,17,22,70,1,24,1,0,7,0,2,7,21,1,AfD
14521355,"Lauter-Bernsbach, Stadt",1176,587,594,371,106,1182,49,701,4717,24.9,12.4,12.6,7.9,2.2,25.1,1.0,14.9,99.0,164,7080,4766,100.0,67.3,BW17,164,Erzgebirgskreis I,GE,"Lauter-Bernsbach, Stadt",,7340,5694,88,5606,1988,773,435,1824,127,x,387,x,x,x,x,x,x,x,x,x,72,x,x,x,x,x,68,5626,1683,740,465,1798,128,97,439,9,108,0,6,14,8,8,48,74,1,SPD
14521370,"Lößnitz, Stadt",1131,565,568,283,94,1135,51,784,4560,24.8,12.4,12.5,6.2,2.1,24.9,1.1,17.2,98.9,164,6875,4611,100.0,67.1,BW17,164,Erzgebirgskreis I,GE,"Lößnitz, Stadt",,7164,5351,92,5259,1772,784,482,1665,151,x,311,x,x,x,x,x,x,x,x,x,94,x,x,x,x,x,76,5275,1548,744,551,1595,109,118,324,22,75,2,7,16,9,25,45,77,8,SPD
14521380,"Lugau/Erzgeb., Stadt",1367,690,670,297,117,1343,59,923,5407,25.3,12.8,12.4,5.5,2.2,24.8,1.1,17.1,98.9,163,7894,5466,100.0,69.2,BW17,163,Chemnitzer Umland - Erzgebirgskreis II,GE,"Lugau/Erzgeb., Stadt",J,6917,5499,97,5402,1848,1132,556,1381,134,x,351,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,76,5423,1613,1040,564,1404,118,102,305,13,78,5,5,14,17,9,47,83,6,AfD
14521390,"Marienberg, Stadt",2556,1273,1287,822,232,2537,110,1501,10208,25.0,12.5,12.6,8.1,2.3,24.9,1.1,14.7,98.9,164,14083,10318,100.0,73.3,BW17,164,Erzgebirgskreis I,GE,"Marienberg, Stadt",,14361,10912,176,10736,3460,1670,961,3221,296,x,1021,x,x,x,x,x,x,x,x,x,107,x,x,x,x,x,164,10748,3234,1537,1028,3225,245,130,862,33,100,6,7,30,16,27,79,180,9,AfD
14521400,Mildenau,405,207,202,141,31,402,11,256,1644,24.6,12.6,12.3,8.6,1.9,24.5,0.7,15.6,99.3,164,2788,1655,100.0,59.4,BW17,164,Erzgebirgskreis I,GE,Mildenau,,2832,2286,43,2243,861,243,188,713,43,x,171,x,x,x,x,x,x,x,x,x,24,x,x,x,x,x,32,2254,755,212,198,722,42,18,193,6,35,2,3,12,3,5,17,27,4,AfD
14521410,Neukirchen/Erzgeb.,981,508,494,353,112,988,40,566,4002,24.5,12.7,12.3,8.8,2.8,24.7,1.0,14.1,99.0,163,5723,4042,100.0,70.6,BW17,163,Chemnitzer Umland - Erzgebirgskreis II,GE,Neukirchen/Erzgeb.,,5681,4602,56,4546,1661,659,411,1294,139,x,382,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,47,4555,1414,619,420,1318,125,58,399,9,65,1,5,12,12,5,43,47,3,SPD
14521420,Niederdorf,197,99,99,49,17,202,10,122,785,25.1,12.6,12.6,6.2,2.2,25.7,1.3,15.5,98.7,163,1036,795,100.0,76.7,BW17,163,Chemnitzer Umland - Erzgebirgskreis II,GE,Niederdorf,,1045,844,12,832,278,100,63,311,17,x,63,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,10,834,237,101,60,297,19,38,52,1,11,0,1,1,0,1,7,7,1,SPD
14521430,Niederwürschnitz,502,253,249,122,47,507,15,298,1978,25.4,12.8,12.6,6.2,2.4,25.6,0.8,15.1,99.2,163,2572,1993,100.0,77.5,BW17,163,Chemnitzer Umland - Erzgebirgskreis II,GE,Niederwürschnitz,,2234,1386,15,1371,473,243,182,355,39,x,79,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,10,1376,434,207,177,363,33,17,76,10,11,0,3,5,0,0,23,14,3,SPD
14521440,"Oberwiesenthal, Kurort, Stadt",348,171,169,126,30,338,9,157,1339,26.0,12.8,12.6,9.4,2.2,25.2,0.7,11.7,99.3,164,1737,1348,100.0,77.6,BW17,164,Erzgebirgskreis I,GE,"Oberwiesenthal, Kurort, Stadt",,1822,1483,32,1451,557,249,121,332,40,x,139,x,x,x,x,x,x,x,x,x,13,x,x,x,x,x,23,1460,508,245,142,325,33,10,138,2,6,1,2,9,0,4,15,20,0,AfD
14521450,"Oelsnitz/Erzgeb., Stadt",1645,830,826,391,171,1660,58,1074,6597,24.9,12.6,12.5,5.9,2.6,25.2,0.9,16.3,99.1,163,9304,6655,100.0,71.5,BW17,163,Chemnitzer Umland - Erzgebirgskreis II,GE,"Oelsnitz/Erzgeb., Stadt",,9506,6832,131,6701,2304,1229,724,1864,199,x,381,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,110,6722,1985,1129,743,1829,178,104,405,23,77,0,6,12,14,8,80,120,9,SPD
14521460,"Olbernhau, Stadt",1842,913,928,708,178,1832,73,984,7385,24.9,12.4,12.6,9.6,2.4,24.8,1.0,13.3,99.0,164,9381,7458,100.0,79.5,BW17,164,Erzgebirgskreis I,GE,"Olbernhau, Stadt",,9685,7107,126,6981,2157,1099,678,2011,204,x,786,x,x,x,x,x,x,x,x,x,46,x,x,x,x,x,112,6995,1995,1063,717,2034,168,61,669,33,54,5,9,20,16,14,39,93,5,AfD
14521495,"Pockau-Lengefeld, Stadt",1181,587,587,376,96,1163,49,705,4695,25.2,12.5,12.5,8.0,2.0,24.8,1.0,15.0,99.0,164,6146,4744,100.0,77.2,BW17,164,Erzgebirgskreis I,GE,"Pockau-Lengefeld, Stadt",,6451,4794,137,4657,1641,699,351,1422,102,x,392,x,x,x,x,x,x,x,x,x,50,x,x,x,x,x,133,4661,1488,669,368,1393,95,69,373,12,45,2,6,11,10,12,44,59,5,AfD
14521500,Raschau-Markersbach,882,447,448,255,78,903,38,531,3544,24.9,12.6,12.6,7.2,2.2,25.5,1.1,15.0,98.9,164,4235,3582,100.0,84.6,BW17,164,Erzgebirgskreis I,GE,Raschau-Markersbach,,4386,3286,54,3232,1048,481,248,1165,78,x,190,x,x,x,x,x,x,x,x,x,22,x,x,x,x,x,48,3238,849,458,277,1107,72,61,232,13,56,5,0,5,11,4,37,49,2,SPD
14521510,"Scheibenberg, Stadt",334,160,160,104,37,333,9,181,1309,25.5,12.2,12.2,7.9,2.8,25.4,0.7,13.8,99.3,164,1706,1318,100.0,77.3,BW17,164,Erzgebirgskreis I,GE,"Scheibenberg, Stadt",J,1752,1570,33,1537,579,216,139,433,44,x,110,x,x,x,x,x,x,x,x,x,16,x,x,x,x,x,27,1543,513,202,149,412,44,18,122,6,30,0,0,5,7,1,15,18,1,AfD
14521520,"Schlettau, Stadt",334,167,175,100,33,321,9,208,1338,25.0,12.5,13.1,7.5,2.5,24.0,0.7,15.5,99.3,164,1931,1347,100.0,69.8,BW17,164,Erzgebirgskreis I,GE,"Schlettau, Stadt",,1970,1344,25,1319,425,217,118,423,28,x,95,x,x,x,x,x,x,x,x,x,13,x,x,x,x,x,18,1326,371,206,120,399,32,28,95,6,24,2,0,4,0,0,11,27,1,AfD
14521530,"Schneeberg, Stadt",2056,1014,1020,515,160,2021,80,1389,8175,25.1,12.4,12.5,6.3,2.0,24.7,1.0,17.0,99.0,164,11456,8255,100.0,72.1,BW17,164,Erzgebirgskreis I,GE,"Schneeberg, Stadt",,11959,8708,149,8559,2920,1471,799,2354,219,x,548,x,x,x,x,x,x,x,x,x,248,x,x,x,x,x,107,8601,2653,1369,858,2321,167,160,530,23,219,5,10,31,11,12,87,134,11,AfD
14521540,Schönheide,771,397,392,235,73,775,32,490,3133,24.6,12.7,12.5,7.5,2.3,24.7,1.0,15.6,99.0,164,4208,3165,100.0,75.2,BW17,164,Erzgebirgskreis I,GE,Schönheide,,3843,2879,59,2820,1103,360,369,722,76,x,173,x,x,x,x,x,x,x,x,x,17,x,x,x,x,x,44,2835,974,343,371,711,66,33,209,5,34,2,2,9,3,9,23,38,3,SPD
14521550,"Schwarzenberg/Erzgeb., Stadt",2372,1187,1198,669,217,2377,101,1469,9489,25.0,12.5,12.6,7.1,2.3,25.1,1.1,15.5,98.9,164,14081,9590,100.0,68.1,BW17,164,Erzgebirgskreis I,GE,"Schwarzenberg/Erzgeb., Stadt",,14490,10580,215,10365,3234,1780,903,3454,283,x,634,x,x,x,x,x,x,x,x,x,77,x,x,x,x,x,204,10376,2799,1699,935,3222,239,239,733,36,125,3,7,27,15,27,108,149,13,SPD
14521560,Sehmatal,1037,490,505,291,105,1023,35,609,4060,25.5,12.1,12.4,7.2,2.6,25.2,0.9,15.0,99.1,164,5187,4095,100.0,78.9,BW17,164,Erzgebirgskreis I,GE,Sehmatal,,5379,4182,61,4121,1690,504,334,1173,105,x,279,x,x,x,x,x,x,x,x,x,36,x,x,x,x,x,59,4123,1500,463,365,1133,106,53,298,14,83,1,3,6,6,1,36,52,3,AfD
14521570,"Seiffen/Erzgeb., Kurort",401,187,198,152,23,396,10,205,1562,25.7,12.0,12.7,9.7,1.5,25.4,0.6,13.1,99.4,164,1765,1572,100.0,89.1,BW17,164,Erzgebirgskreis I,GE,"Seiffen/Erzgeb., Kurort",J,1894,1617,34,1583,546,179,91,503,31,x,221,x,x,x,x,x,x,x,x,x,12,x,x,x,x,x,28,1589,546,175,113,515,23,13,160,5,8,0,0,5,3,3,4,16,0,AfD
14521590,"Stollberg/Erzgeb., Stadt",1633,824,812,452,160,1624,69,1059,6564,24.9,12.6,12.4,6.9,2.4,24.7,1.0,16.1,99.0,163,9279,6633,100.0,71.5,BW17,163,Chemnitzer Umland - Erzgebirgskreis II,GE,"Stollberg/Erzgeb., Stadt",,9560,6930,119,6811,2451,1167,720,1852,215,x,406,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,86,6844,2145,1078,715,1812,168,82,472,28,93,3,8,15,13,18,80,99,15,AfD
14521600,Stützengrün,464,231,232,138,30,466,16,283,1844,25.2,12.5,12.6,7.5,1.6,25.3,0.9,15.3,99.1,164,2602,1860,100.0,71.5,BW17,164,Erzgebirgskreis I,GE,Stützengrün,,2739,2244,41,2203,927,253,234,597,45,x,131,x,x,x,x,x,x,x,x,x,16,x,x,x,x,x,40,2204,809,242,243,605,35,27,165,7,24,0,0,5,1,6,17,15,3,SPD
14521610,Tannenberg,142,67,67,43,16,133,8,78,546,26.0,12.3,12.3,7.9,2.9,24.4,1.4,14.3,98.6,164,890,554,100.0,62.2,BW17,164,Erzgebirgskreis I,GE,Tannenberg,,925,711,13,698,211,102,48,258,17,x,57,x,x,x,x,x,x,x,x,x,5,x,x,x,x,x,13,698,185,90,46,239,21,9,57,4,16,1,0,2,1,3,4,16,4,AfD
14521620,"Thalheim/Erzgeb., Stadt",902,458,448,272,114,915,40,546,3655,24.7,12.5,12.3,7.4,3.1,25.0,1.1,14.9,98.9,163,5997,3695,100.0,61.6,BW17,163,Chemnitzer Umland - Erzgebirgskreis II,GE,"Thalheim/Erzgeb., Stadt",,5366,4097,79,4018,1412,632,417,1083,156,x,318,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,57,4040,1236,588,426,1058,129,82,305,11,48,4,3,11,6,10,56,61,6,SPD
14521630,Thermalbad Wiesenbad,385,192,193,108,39,391,17,237,1545,24.9,12.4,12.5,7.0,2.5,25.3,1.1,15.3,98.9,164,2650,1562,100.0,58.9,BW17,164,Erzgebirgskreis I,GE,Thermalbad Wiesenbad,,2732,2166,65,2101,793,262,162,661,63,x,141,x,x,x,x,x,x,x,x,x,19,x,x,x,x,x,61,2105,708,245,156,645,53,27,146,10,32,2,0,4,4,10,29,32,2,SPD
14521640,"Thum, Stadt",694,361,355,238,57,686,29,397,2788,24.9,12.9,12.7,8.5,2.0,24.6,1.0,14.2,99.0,164,4230,2817,100.0,66.6,BW17,164,Erzgebirgskreis I,GE,"Thum, Stadt",,4389,3470,51,3419,1297,439,269,1005,86,x,296,x,x,x,x,x,x,x,x,x,27,x,x,x,x,x,42,3428,1166,404,269,996,69,49,291,10,53,5,2,13,7,9,27,55,3,AfD
14521670,"Wolkenstein, Stadt",718,371,353,245,73,730,37,470,2960,24.3,12.5,11.9,8.3,2.5,24.7,1.2,15.9,98.8,164,3198,2997,100.0,93.7,BW17,164,Erzgebirgskreis I,GE,"Wolkenstein, Stadt",,3266,2479,44,2435,872,337,218,686,76,x,226,x,x,x,x,x,x,x,x,x,20,x,x,x,x,x,43,2436,807,327,197,693,60,31,208,10,40,1,0,12,1,4,16,27,2,SPD
