AGS,Ort,KreisId,KreisName,Gewinner_Partei,Gewinner_Name,Gewinner_c,Partei_1,Partei_1_k,Partei_1_c,Partei_1_a,Partei_2,Partei_2_k,Partei_2_c,Partei_2_a,Partei_3,Partei_3_k,Partei_3_c,Partei_3_a,fließtext_rest
14730110,"Eilenburg, Stadt",151,Nordsachsen,SPD,"Kleinke, Rüdiger",#e3000f,SPD,"Kleinke, Rüdiger",#e3000f,25.0,AfD,"Bochmann, René",#009ee0,24.5,LINKE,"Rubach, Philipp",#b5152b,12.5," +++ Rubach, Philipp (DIE LINKE), 12.5% +++ Schenderlein, Dr. Christiane (CDU), 12.4% +++ Gutjahr, Karsten (Die PARTEI), 9.5% +++ Richter, Martin Max (FDP), 6.0% +++ Daiser, Chris (FREIE WÄHLER), 4.7% +++ Korn, Denis (GRÜNE), 2.5% +++ Strenger, Uta (ÖDP), 2.5% +++ Asmus, Sven (ASMUSfddB), 0.3% +++ Klinger, Doreen (dieBasis), 0.1% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730120,Elsnig,151,Nordsachsen,AfD,"Bochmann, René",#009ee0,AfD,"Bochmann, René",#009ee0,24.2,SPD,"Kleinke, Rüdiger",#e3000f,24.2,Die PARTEI,"Gutjahr, Karsten",#b5152b,14.4," +++ Gutjahr, Karsten (Die PARTEI), 14.4% +++ Rubach, Philipp (DIE LINKE), 12.9% +++ Schenderlein, Dr. Christiane (CDU), 12.8% +++ Richter, Martin Max (FDP), 10.1% +++ Korn, Denis (GRÜNE), 1.4% +++ Daiser, Chris (FREIE WÄHLER), 0.0% +++ Strenger, Uta (ÖDP), 0.0% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730140,Jesewitz,151,Nordsachsen,AfD,"Bochmann, René",#009ee0,AfD,"Bochmann, René",#009ee0,25.2,SPD,"Kleinke, Rüdiger",#e3000f,24.5,Die PARTEI,"Gutjahr, Karsten",#b5152b,14.3," +++ Gutjahr, Karsten (Die PARTEI), 14.3% +++ Rubach, Philipp (DIE LINKE), 12.4% +++ Schenderlein, Dr. Christiane (CDU), 12.2% +++ Richter, Martin Max (FDP), 6.6% +++ Korn, Denis (GRÜNE), 3.1% +++ Daiser, Chris (FREIE WÄHLER), 1.6% +++ Strenger, Uta (ÖDP), 0.0% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730150,Krostitz,151,Nordsachsen,SPD,"Kleinke, Rüdiger",#e3000f,SPD,"Kleinke, Rüdiger",#e3000f,25.1,AfD,"Bochmann, René",#009ee0,24.2,LINKE,"Rubach, Philipp",#b5152b,12.5," +++ Rubach, Philipp (DIE LINKE), 12.5% +++ Gutjahr, Karsten (Die PARTEI), 12.4% +++ Schenderlein, Dr. Christiane (CDU), 12.3% +++ Richter, Martin Max (FDP), 7.1% +++ Daiser, Chris (FREIE WÄHLER), 4.1% +++ Korn, Denis (GRÜNE), 2.4% +++ Strenger, Uta (ÖDP), 0.0% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730160,Laußig,151,Nordsachsen,SPD,"Kleinke, Rüdiger",#e3000f,SPD,"Kleinke, Rüdiger",#e3000f,25.5,AfD,"Bochmann, René",#009ee0,24.8,Die PARTEI,"Gutjahr, Karsten",#b5152b,16.2," +++ Gutjahr, Karsten (Die PARTEI), 16.2% +++ Schenderlein, Dr. Christiane (CDU), 12.5% +++ Rubach, Philipp (DIE LINKE), 12.4% +++ Richter, Martin Max (FDP), 6.2% +++ Korn, Denis (GRÜNE), 1.5% +++ Daiser, Chris (FREIE WÄHLER), 0.9% +++ Strenger, Uta (ÖDP), 0.0% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730170,Liebschützberg,151,Nordsachsen,SPD,"Kleinke, Rüdiger",#e3000f,SPD,"Kleinke, Rüdiger",#e3000f,25.5,AfD,"Bochmann, René",#009ee0,25.1,Die PARTEI,"Gutjahr, Karsten",#b5152b,13.5," +++ Gutjahr, Karsten (Die PARTEI), 13.5% +++ Rubach, Philipp (DIE LINKE), 12.8% +++ Schenderlein, Dr. Christiane (CDU), 12.7% +++ Richter, Martin Max (FDP), 7.3% +++ Daiser, Chris (FREIE WÄHLER), 1.8% +++ Korn, Denis (GRÜNE), 1.4% +++ Strenger, Uta (ÖDP), 0.0% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730180,Löbnitz,151,Nordsachsen,SPD,"Kleinke, Rüdiger",#e3000f,SPD,"Kleinke, Rüdiger",#e3000f,25.7,AfD,"Bochmann, René",#009ee0,24.9,Die PARTEI,"Gutjahr, Karsten",#b5152b,16.2," +++ Gutjahr, Karsten (Die PARTEI), 16.2% +++ Schenderlein, Dr. Christiane (CDU), 12.7% +++ Rubach, Philipp (DIE LINKE), 12.2% +++ Richter, Martin Max (FDP), 4.8% +++ Korn, Denis (GRÜNE), 2.0% +++ Daiser, Chris (FREIE WÄHLER), 0.9% +++ Strenger, Uta (ÖDP), 0.6% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730190,Mockrehna,151,Nordsachsen,AfD,"Bochmann, René",#009ee0,AfD,"Bochmann, René",#009ee0,25.0,SPD,"Kleinke, Rüdiger",#e3000f,25.0,LINKE,"Rubach, Philipp",#b5152b,12.9," +++ Rubach, Philipp (DIE LINKE), 12.9% +++ Schenderlein, Dr. Christiane (CDU), 12.5% +++ Gutjahr, Karsten (Die PARTEI), 11.0% +++ Richter, Martin Max (FDP), 6.5% +++ Daiser, Chris (FREIE WÄHLER), 5.6% +++ Korn, Denis (GRÜNE), 1.2% +++ Strenger, Uta (ÖDP), 0.1% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730200,"Mügeln, Stadt",151,Nordsachsen,SPD,"Kleinke, Rüdiger",#e3000f,SPD,"Kleinke, Rüdiger",#e3000f,25.0,AfD,"Bochmann, René",#009ee0,24.8,CDU,"Schenderlein, Dr. Christiane",#32302e,12.6," +++ Schenderlein, Dr. Christiane (CDU), 12.6% +++ Rubach, Philipp (DIE LINKE), 12.6% +++ Gutjahr, Karsten (Die PARTEI), 10.9% +++ Richter, Martin Max (FDP), 6.3% +++ Daiser, Chris (FREIE WÄHLER), 3.1% +++ Korn, Denis (GRÜNE), 2.3% +++ Strenger, Uta (ÖDP), 2.3% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730210,Naundorf,151,Nordsachsen,AfD,"Bochmann, René",#009ee0,AfD,"Bochmann, René",#009ee0,25.1,SPD,"Kleinke, Rüdiger",#e3000f,25.1,Die PARTEI,"Gutjahr, Karsten",#b5152b,15.0," +++ Gutjahr, Karsten (Die PARTEI), 15.0% +++ Rubach, Philipp (DIE LINKE), 12.3% +++ Schenderlein, Dr. Christiane (CDU), 12.2% +++ Richter, Martin Max (FDP), 7.8% +++ Korn, Denis (GRÜNE), 2.6% +++ Daiser, Chris (FREIE WÄHLER), 0.0% +++ Strenger, Uta (ÖDP), 0.0% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730230,"Oschatz, Stadt",151,Nordsachsen,AfD,"Bochmann, René",#009ee0,AfD,"Bochmann, René",#009ee0,25.0,SPD,"Kleinke, Rüdiger",#e3000f,25.0,Die PARTEI,"Gutjahr, Karsten",#b5152b,16.5," +++ Gutjahr, Karsten (Die PARTEI), 16.5% +++ Rubach, Philipp (DIE LINKE), 12.6% +++ Schenderlein, Dr. Christiane (CDU), 12.5% +++ Richter, Martin Max (FDP), 5.4% +++ Korn, Denis (GRÜNE), 2.3% +++ Daiser, Chris (FREIE WÄHLER), 0.8% +++ Strenger, Uta (ÖDP), 0.0% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730250,Rackwitz,151,Nordsachsen,SPD,"Kleinke, Rüdiger",#e3000f,SPD,"Kleinke, Rüdiger",#e3000f,24.7,AfD,"Bochmann, René",#009ee0,24.1,LINKE,"Rubach, Philipp",#b5152b,12.8," +++ Rubach, Philipp (DIE LINKE), 12.8% +++ Schenderlein, Dr. Christiane (CDU), 12.3% +++ Gutjahr, Karsten (Die PARTEI), 8.2% +++ Richter, Martin Max (FDP), 6.2% +++ Daiser, Chris (FREIE WÄHLER), 5.2% +++ Korn, Denis (GRÜNE), 3.1% +++ Strenger, Uta (ÖDP), 2.0% +++ Klinger, Doreen (dieBasis), 1.4% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730270,"Schkeuditz, Stadt",151,Nordsachsen,SPD,"Kleinke, Rüdiger",#e3000f,SPD,"Kleinke, Rüdiger",#e3000f,25.1,AfD,"Bochmann, René",#009ee0,24.8,CDU,"Schenderlein, Dr. Christiane",#32302e,12.7," +++ Schenderlein, Dr. Christiane (CDU), 12.7% +++ Rubach, Philipp (DIE LINKE), 12.6% +++ Gutjahr, Karsten (Die PARTEI), 8.3% +++ Richter, Martin Max (FDP), 7.2% +++ Daiser, Chris (FREIE WÄHLER), 4.5% +++ Korn, Denis (GRÜNE), 3.4% +++ Strenger, Uta (ÖDP), 1.5% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730280,Schönwölkau,151,Nordsachsen,SPD,"Kleinke, Rüdiger",#e3000f,SPD,"Kleinke, Rüdiger",#e3000f,25.8,AfD,"Bochmann, René",#009ee0,24.8,Die PARTEI,"Gutjahr, Karsten",#b5152b,14.7," +++ Gutjahr, Karsten (Die PARTEI), 14.7% +++ Rubach, Philipp (DIE LINKE), 12.5% +++ Schenderlein, Dr. Christiane (CDU), 12.2% +++ Richter, Martin Max (FDP), 7.7% +++ Korn, Denis (GRÜNE), 2.4% +++ Daiser, Chris (FREIE WÄHLER), 0.0% +++ Strenger, Uta (ÖDP), 0.0% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730300,"Taucha, Stadt",151,Nordsachsen,AfD,"Bochmann, René",#009ee0,AfD,"Bochmann, René",#009ee0,25.1,SPD,"Kleinke, Rüdiger",#e3000f,25.1,CDU,"Schenderlein, Dr. Christiane",#32302e,12.7," +++ Schenderlein, Dr. Christiane (CDU), 12.7% +++ Rubach, Philipp (DIE LINKE), 12.7% +++ Gutjahr, Karsten (Die PARTEI), 9.4% +++ Richter, Martin Max (FDP), 8.6% +++ Korn, Denis (GRÜNE), 4.1% +++ Daiser, Chris (FREIE WÄHLER), 2.4% +++ Strenger, Uta (ÖDP), 0.0% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730310,"Torgau, Stadt",151,Nordsachsen,AfD,"Bochmann, René",#009ee0,AfD,"Bochmann, René",#009ee0,25.5,SPD,"Kleinke, Rüdiger",#e3000f,24.9,CDU,"Schenderlein, Dr. Christiane",#32302e,12.6," +++ Schenderlein, Dr. Christiane (CDU), 12.6% +++ Rubach, Philipp (DIE LINKE), 12.4% +++ Gutjahr, Karsten (Die PARTEI), 9.7% +++ Richter, Martin Max (FDP), 6.7% +++ Daiser, Chris (FREIE WÄHLER), 4.2% +++ Korn, Denis (GRÜNE), 2.3% +++ Strenger, Uta (ÖDP), 1.3% +++ Klinger, Doreen (dieBasis), 0.3% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730320,Trossin,151,Nordsachsen,AfD,"Bochmann, René",#009ee0,AfD,"Bochmann, René",#009ee0,25.6,SPD,"Kleinke, Rüdiger",#e3000f,24.7,Die PARTEI,"Gutjahr, Karsten",#b5152b,14.8," +++ Gutjahr, Karsten (Die PARTEI), 14.8% +++ Schenderlein, Dr. Christiane (CDU), 13.0% +++ Rubach, Philipp (DIE LINKE), 12.8% +++ Richter, Martin Max (FDP), 6.6% +++ Korn, Denis (GRÜNE), 2.6% +++ Daiser, Chris (FREIE WÄHLER), 0.0% +++ Strenger, Uta (ÖDP), 0.0% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730330,Wermsdorf,151,Nordsachsen,AfD,"Bochmann, René",#009ee0,AfD,"Bochmann, René",#009ee0,25.0,SPD,"Kleinke, Rüdiger",#e3000f,25.0,LINKE,"Rubach, Philipp",#b5152b,12.7," +++ Rubach, Philipp (DIE LINKE), 12.7% +++ Gutjahr, Karsten (Die PARTEI), 12.6% +++ Schenderlein, Dr. Christiane (CDU), 12.5% +++ Richter, Martin Max (FDP), 5.2% +++ Daiser, Chris (FREIE WÄHLER), 3.8% +++ Korn, Denis (GRÜNE), 3.3% +++ Strenger, Uta (ÖDP), 0.0% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730340,Wiedemar,151,Nordsachsen,AfD,"Bochmann, René",#009ee0,AfD,"Bochmann, René",#009ee0,24.9,SPD,"Kleinke, Rüdiger",#e3000f,24.8,CDU,"Schenderlein, Dr. Christiane",#32302e,12.7," +++ Schenderlein, Dr. Christiane (CDU), 12.7% +++ Rubach, Philipp (DIE LINKE), 12.7% +++ Gutjahr, Karsten (Die PARTEI), 12.1% +++ Richter, Martin Max (FDP), 6.7% +++ Daiser, Chris (FREIE WÄHLER), 3.6% +++ Korn, Denis (GRÜNE), 2.6% +++ Strenger, Uta (ÖDP), 0.0% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730360,Zschepplin,151,Nordsachsen,AfD,"Bochmann, René",#009ee0,AfD,"Bochmann, René",#009ee0,25.5,SPD,"Kleinke, Rüdiger",#e3000f,25.3,Die PARTEI,"Gutjahr, Karsten",#b5152b,15.9," +++ Gutjahr, Karsten (Die PARTEI), 15.9% +++ Rubach, Philipp (DIE LINKE), 12.5% +++ Schenderlein, Dr. Christiane (CDU), 12.3% +++ Richter, Martin Max (FDP), 5.7% +++ Korn, Denis (GRÜNE), 2.9% +++ Daiser, Chris (FREIE WÄHLER), 0.0% +++ Strenger, Uta (ÖDP), 0.0% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14729010,"Bad Lausick, Stadt",154,Leipziger Land,AfD,"Naujok, Edgar",#009ee0,AfD,"Naujok, Edgar",#009ee0,25.4,SPD,"Mascheck, Franziska",#e3000f,24.8,LINKE,"Schramm, Julia Ulrike",#b5152b,12.6," +++ Schramm, Julia Ulrike (DIE LINKE), 12.6% +++ von Breitenbuch, Georg-Ludwig (CDU), 12.5% +++ Küchler, Sabine (Die PARTEI), 12.1% +++ Winne, Dr. Olaf Christian (FDP), 5.7% +++ Wendt, Denise Corinna (FREIE WÄHLER), 3.5% +++ Vialon, Matthias (GRÜNE), 3.2% +++ Vauk, Harald Harry Bernhard (ÖDP), 0.0% +++ Toloczyki, Dr. Christian (dieBasis), 0.0%"
14729020,Belgershain,154,Leipziger Land,AfD,"Naujok, Edgar",#009ee0,AfD,"Naujok, Edgar",#009ee0,25.1,SPD,"Mascheck, Franziska",#e3000f,24.9,Die PARTEI,"Küchler, Sabine",#b5152b,12.8," +++ Küchler, Sabine (Die PARTEI), 12.8% +++ von Breitenbuch, Georg-Ludwig (CDU), 12.5% +++ Schramm, Julia Ulrike (DIE LINKE), 12.3% +++ Winne, Dr. Olaf Christian (FDP), 7.7% +++ Vialon, Matthias (GRÜNE), 4.4% +++ Wendt, Denise Corinna (FREIE WÄHLER), 0.4% +++ Vauk, Harald Harry Bernhard (ÖDP), 0.0% +++ Toloczyki, Dr. Christian (dieBasis), 0.0%"
14729030,Bennewitz,154,Leipziger Land,SPD,"Mascheck, Franziska",#e3000f,SPD,"Mascheck, Franziska",#e3000f,25.1,AfD,"Naujok, Edgar",#009ee0,24.9,CDU,"von Breitenbuch, Georg-Ludwig",#32302e,12.6," +++ von Breitenbuch, Georg-Ludwig (CDU), 12.6% +++ Schramm, Julia Ulrike (DIE LINKE), 12.5% +++ Küchler, Sabine (Die PARTEI), 9.7% +++ Winne, Dr. Olaf Christian (FDP), 5.9% +++ Vialon, Matthias (GRÜNE), 4.5% +++ Wendt, Denise Corinna (FREIE WÄHLER), 4.3% +++ Vauk, Harald Harry Bernhard (ÖDP), 0.5% +++ Toloczyki, Dr. Christian (dieBasis), 0.0%"
14729040,"Böhlen, Stadt",154,Leipziger Land,SPD,"Mascheck, Franziska",#e3000f,SPD,"Mascheck, Franziska",#e3000f,25.1,AfD,"Naujok, Edgar",#009ee0,24.9,CDU,"von Breitenbuch, Georg-Ludwig",#32302e,12.5," +++ von Breitenbuch, Georg-Ludwig (CDU), 12.5% +++ Schramm, Julia Ulrike (DIE LINKE), 12.4% +++ Küchler, Sabine (Die PARTEI), 11.8% +++ Winne, Dr. Olaf Christian (FDP), 6.2% +++ Wendt, Denise Corinna (FREIE WÄHLER), 4.4% +++ Vialon, Matthias (GRÜNE), 2.7% +++ Vauk, Harald Harry Bernhard (ÖDP), 0.0% +++ Toloczyki, Dr. Christian (dieBasis), 0.0%"
14729050,"Borna, Stadt",154,Leipziger Land,AfD,"Naujok, Edgar",#009ee0,AfD,"Naujok, Edgar",#009ee0,24.9,SPD,"Mascheck, Franziska",#e3000f,24.8,LINKE,"Schramm, Julia Ulrike",#b5152b,12.5," +++ Schramm, Julia Ulrike (DIE LINKE), 12.5% +++ von Breitenbuch, Georg-Ludwig (CDU), 12.3% +++ Küchler, Sabine (Die PARTEI), 10.4% +++ Wendt, Denise Corinna (FREIE WÄHLER), 5.7% +++ Winne, Dr. Olaf Christian (FDP), 4.9% +++ Vialon, Matthias (GRÜNE), 2.5% +++ Vauk, Harald Harry Bernhard (ÖDP), 1.8% +++ Toloczyki, Dr. Christian (dieBasis), 0.2%"
