AGS,Ort,1_Gewinner,1_Partei_1_Stimmen,1_Partei_1_Anteil,1_Partei_1_Name,1_Partei_2_Stimmen,1_Partei_2_Anteil,1_Partei_2_Name,1_Partei_3_Stimmen,1_Partei_3_Anteil,1_Partei_3_Name,1_Partei_4_Stimmen,1_Partei_4_Anteil,1_Partei_4_Name,1_Partei_5_Stimmen,1_Partei_5_Anteil,1_Partei_5_Name,1_Partei_6_Stimmen,1_Partei_6_Anteil,1_Partei_6_Name,1_Partei_andere_Stimmen,1_Partei_andere_Anteil,1_Partei_andere_Name,1_ungültige Stimmen,1_gültige Stimmen,2_Gewinner,2_Partei_1_Stimmen,2_Partei_1_Anteil,2_Partei_1_Name,2_Partei_2_Stimmen,2_Partei_2_Anteil,2_Partei_2_Name,2_Partei_3_Stimmen,2_Partei_3_Anteil,2_Partei_3_Name,2_Partei_4_Stimmen,2_Partei_4_Anteil,2_Partei_4_Name,2_Partei_5_Stimmen,2_Partei_5_Anteil,2_Partei_5_Name,2_Partei_6_Stimmen,2_Partei_6_Anteil,2_Partei_6_Name,2_Partei_andere_Stimmen,2_Partei_andere_Anteil,2_Partei_andere_Name,2_ungültige Stimmen,2_gültige Stimmen,WKNr,Stimmen Wahlberechtigte,Stimmen Wähler,Anteil Wahlberechtigte,Anteil Wähler
14521160,"Ehrenfriedersdorf, Stadt",SPD,915,25.4,SPD,908,25.2,AfD,457,12.7,CDU,436,12.1,LINKE,221,6.1,FDP,74,2.1,GRÜNE,595,16.5,andere Parteien,27,3606,AfD,904,25.1,AfD,897,24.9,SPD,443,12.3,LINKE,442,12.3,CDU,294,8.2,FDP,58,1.6,GRÜNE,560,15.6,andere Parteien,35,3598,164,3903,3633,100.0,93.1
14521170,"Eibenstock, Stadt",AfD,1222,25.3,AfD,1210,25.0,SPD,613,12.7,LINKE,606,12.5,CDU,274,5.7,FDP,138,2.9,GRÜNE,775,16.0,andere Parteien,51,4838,SPD,1214,25.1,SPD,1176,24.3,AfD,615,12.7,LINKE,602,12.4,CDU,309,6.4,FDP,101,2.1,GRÜNE,819,16.9,andere Parteien,53,4836,164,6070,4889,100.0,80.5
14521180,"Elterlein, Stadt",AfD,363,24.5,AfD,362,24.5,SPD,184,12.4,LINKE,182,12.3,CDU,109,7.4,FDP,42,2.8,GRÜNE,237,16.0,andere Parteien,15,1479,SPD,368,24.9,SPD,365,24.7,AfD,189,12.8,CDU,185,12.5,LINKE,105,7.1,FDP,33,2.2,GRÜNE,234,15.8,andere Parteien,15,1479,164,2362,1494,100.0,63.3
14521200,Gelenau/Erzgeb.,SPD,647,25.6,SPD,633,25.0,AfD,322,12.7,LINKE,320,12.6,CDU,170,6.7,FDP,80,3.2,GRÜNE,359,14.2,andere Parteien,22,2531,SPD,638,25.2,SPD,625,24.7,AfD,318,12.6,CDU,310,12.3,LINKE,201,7.9,FDP,49,1.9,GRÜNE,388,15.3,andere Parteien,24,2529,164,3430,2553,100.0,74.4
14521210,"Geyer, Stadt",SPD,465,25.8,SPD,458,25.4,AfD,231,12.8,LINKE,229,12.7,CDU,122,6.8,FDP,48,2.7,GRÜNE,247,13.7,andere Parteien,19,1800,AfD,464,25.7,AfD,444,24.6,SPD,221,12.3,CDU,221,12.3,LINKE,143,7.9,FDP,36,2.0,GRÜNE,275,15.2,andere Parteien,15,1804,164,2886,1819,100.0,63.0
14521220,Gornau/Erzgeb.,AfD,574,25.2,AfD,567,24.9,SPD,290,12.7,LINKE,287,12.6,CDU,198,8.7,FDP,75,3.3,GRÜNE,288,12.6,andere Parteien,23,2279,SPD,575,25.2,SPD,555,24.4,AfD,283,12.4,CDU,275,12.1,LINKE,213,9.4,FDP,81,3.6,GRÜNE,296,13.0,andere Parteien,24,2278,164,3094,2302,100.0,74.4
14521230,Gornsdorf,AfD,265,25.1,AfD,260,24.6,SPD,137,13.0,LINKE,126,11.9,CDU,86,8.2,FDP,39,3.7,GRÜNE,142,13.5,andere Parteien,7,1055,AfD,271,25.7,AfD,261,24.7,SPD,136,12.9,CDU,132,12.5,LINKE,89,8.4,FDP,31,2.9,GRÜNE,136,12.9,andere Parteien,6,1056,163,1619,1062,100.0,65.6
14521240,Großolbersdorf,SPD,473,25.3,SPD,458,24.5,AfD,237,12.7,CDU,230,12.3,LINKE,169,9.0,FDP,54,2.9,GRÜNE,249,13.3,andere Parteien,17,1870,SPD,474,25.3,SPD,468,25.0,AfD,235,12.5,LINKE,231,12.3,CDU,146,7.8,FDP,45,2.4,GRÜNE,275,14.7,andere Parteien,13,1874,164,2343,1887,100.0,80.5
14521250,Großrückerswalde,AfD,460,24.8,AfD,458,24.7,SPD,233,12.5,LINKE,229,12.3,CDU,136,7.3,FDP,51,2.7,GRÜNE,291,15.7,andere Parteien,20,1858,SPD,477,25.6,SPD,459,24.6,AfD,235,12.6,CDU,232,12.4,LINKE,122,6.5,FDP,46,2.5,GRÜNE,293,15.7,andere Parteien,14,1864,164,2776,1878,100.0,67.7
14521260,"Grünhain-Beierfeld, Stadt",AfD,845,25.2,AfD,833,24.8,SPD,419,12.5,LINKE,418,12.5,CDU,212,6.3,FDP,62,1.8,GRÜNE,565,16.8,andere Parteien,39,3354,SPD,858,25.5,SPD,853,25.4,AfD,421,12.5,CDU,409,12.2,LINKE,247,7.4,FDP,60,1.8,GRÜNE,512,15.2,andere Parteien,33,3360,164,4833,3393,100.0,70.2
14521270,Grünhainichen,AfD,473,25.7,AfD,465,25.2,SPD,234,12.7,LINKE,230,12.5,CDU,175,9.5,FDP,46,2.5,GRÜNE,220,11.9,andere Parteien,16,1843,AfD,464,25.2,AfD,464,25.2,SPD,229,12.5,CDU,227,12.3,LINKE,154,8.4,FDP,39,2.1,GRÜNE,262,14.2,andere Parteien,20,1839,164,2681,1859,100.0,69.3
14521280,Heidersdorf,SPD,92,25.3,SPD,90,24.7,AfD,47,12.9,LINKE,47,12.9,FDP,45,12.4,CDU,11,3.0,GRÜNE,32,8.8,andere Parteien,5,364,AfD,96,26.3,AfD,89,24.4,SPD,47,12.9,LINKE,45,12.3,CDU,34,9.3,FDP,8,2.2,GRÜNE,46,12.6,andere Parteien,4,365,164,656,369,100.0,56.3
14521290,Hohndorf,SPD,590,25.7,SPD,571,24.9,AfD,299,13.0,CDU,294,12.8,LINKE,162,7.1,FDP,65,2.8,GRÜNE,316,13.8,andere Parteien,22,2297,SPD,578,25.1,SPD,570,24.8,AfD,300,13.0,LINKE,294,12.8,CDU,159,6.9,FDP,66,2.9,GRÜNE,333,14.5,andere Parteien,19,2300,163,3029,2319,100.0,76.6
14521310,Jahnsdorf/Erzgeb.,AfD,869,25.2,AfD,840,24.4,SPD,437,12.7,CDU,428,12.4,LINKE,284,8.2,FDP,92,2.7,GRÜNE,497,14.4,andere Parteien,35,3447,SPD,880,25.5,SPD,848,24.6,AfD,436,12.7,LINKE,433,12.6,CDU,325,9.4,FDP,83,2.4,GRÜNE,440,12.8,andere Parteien,37,3445,163,4438,3482,100.0,78.5
14521320,"Johanngeorgenstadt, Stadt",SPD,704,25.1,SPD,702,25.0,AfD,363,12.9,LINKE,345,12.3,CDU,137,4.9,FDP,37,1.3,GRÜNE,516,18.4,andere Parteien,31,2804,AfD,723,25.7,AfD,704,25.0,SPD,353,12.6,LINKE,350,12.4,CDU,174,6.2,FDP,35,1.2,GRÜNE,473,16.8,andere Parteien,23,2812,164,3329,2835,100.0,85.2
14521330,"Jöhstadt, Stadt",AfD,293,25.4,AfD,292,25.3,SPD,142,12.3,LINKE,140,12.1,CDU,69,6.0,FDP,26,2.3,GRÜNE,193,16.7,andere Parteien,10,1155,SPD,288,24.9,SPD,281,24.3,AfD,147,12.7,CDU,143,12.4,LINKE,71,6.1,FDP,24,2.1,GRÜNE,202,17.5,andere Parteien,9,1156,164,2185,1165,100.0,53.3
14521340,Königswalde,AfD,208,25.4,AfD,204,24.9,SPD,102,12.5,CDU,100,12.2,LINKE,48,5.9,FDP,18,2.2,GRÜNE,139,17.0,andere Parteien,5,819,AfD,203,24.8,AfD,202,24.7,SPD,103,12.6,LINKE,100,12.2,CDU,48,5.9,FDP,14,1.7,GRÜNE,149,18.2,andere Parteien,5,819,164,1761,824,100.0,46.8
14521355,"Lauter-Bernsbach, Stadt",AfD,1184,25.1,AfD,1167,24.7,SPD,594,12.6,CDU,590,12.5,LINKE,326,6.9,FDP,106,2.2,GRÜNE,754,16.0,andere Parteien,45,4721,SPD,1182,25.1,SPD,1176,24.9,AfD,594,12.6,LINKE,587,12.4,CDU,371,7.9,FDP,106,2.2,GRÜNE,701,14.9,andere Parteien,49,4717,164,7080,4766,100.0,67.3
14521370,"Lößnitz, Stadt",SPD,1133,24.8,SPD,1127,24.7,AfD,586,12.8,CDU,577,12.6,LINKE,271,5.9,FDP,130,2.8,GRÜNE,739,16.2,andere Parteien,48,4563,SPD,1135,24.9,SPD,1131,24.8,AfD,568,12.5,LINKE,565,12.4,CDU,283,6.2,FDP,94,2.1,GRÜNE,784,17.2,andere Parteien,51,4560,164,6875,4611,100.0,67.1
14521380,"Lugau/Erzgeb., Stadt",SPD,1370,25.4,SPD,1342,24.8,AfD,684,12.7,LINKE,667,12.3,CDU,346,6.4,FDP,139,2.6,GRÜNE,855,15.8,andere Parteien,63,5403,AfD,1367,25.3,AfD,1343,24.8,SPD,690,12.8,CDU,670,12.4,LINKE,297,5.5,FDP,117,2.2,GRÜNE,923,17.1,andere Parteien,59,5407,163,7894,5466,100.0,69.2
14521390,"Marienberg, Stadt",SPD,2562,25.1,SPD,2540,24.9,AfD,1289,12.6,LINKE,1275,12.5,CDU,977,9.6,FDP,280,2.7,GRÜNE,1289,12.6,andere Parteien,106,10212,AfD,2556,25.0,AfD,2537,24.9,SPD,1287,12.6,LINKE,1273,12.5,CDU,822,8.1,FDP,232,2.3,GRÜNE,1501,14.7,andere Parteien,110,10208,164,14083,10318,100.0,73.3
14521400,Mildenau,AfD,421,25.6,AfD,407,24.8,SPD,212,12.9,CDU,201,12.2,LINKE,130,7.9,FDP,31,1.9,GRÜNE,241,14.7,andere Parteien,12,1643,AfD,405,24.6,AfD,402,24.5,SPD,207,12.6,CDU,202,12.3,LINKE,141,8.6,FDP,31,1.9,GRÜNE,256,15.6,andere Parteien,11,1644,164,2788,1655,100.0,59.4
14521410,Neukirchen/Erzgeb.,AfD,1005,25.1,AfD,983,24.6,SPD,500,12.5,CDU,500,12.5,LINKE,343,8.6,FDP,123,3.1,GRÜNE,545,13.6,andere Parteien,43,3999,SPD,988,24.7,SPD,981,24.5,AfD,508,12.7,CDU,494,12.3,LINKE,353,8.8,FDP,112,2.8,GRÜNE,566,14.1,andere Parteien,40,4002,163,5723,4042,100.0,70.6
14521420,Niederdorf,AfD,196,25.0,AfD,191,24.3,SPD,102,13.0,LINKE,100,12.7,CDU,60,7.6,FDP,16,2.0,GRÜNE,120,15.3,andere Parteien,10,785,SPD,202,25.7,SPD,197,25.1,AfD,99,12.6,CDU,99,12.6,LINKE,49,6.2,FDP,17,2.2,GRÜNE,122,15.5,andere Parteien,10,785,163,1036,795,100.0,76.7
14521430,Niederwürschnitz,SPD,498,25.2,SPD,496,25.1,AfD,251,12.7,CDU,246,12.4,LINKE,125,6.3,FDP,54,2.7,GRÜNE,307,15.5,andere Parteien,16,1977,SPD,507,25.6,SPD,502,25.4,AfD,253,12.8,CDU,249,12.6,LINKE,122,6.2,FDP,47,2.4,GRÜNE,298,15.1,andere Parteien,15,1978,163,2572,1993,100.0,77.5
14521440,"Oberwiesenthal, Kurort, Stadt",SPD,332,25.0,SPD,326,24.5,AfD,164,12.3,LINKE,161,12.1,CDU,132,9.9,FDP,36,2.7,GRÜNE,179,13.5,andere Parteien,18,1330,AfD,348,26.0,AfD,338,25.2,SPD,171,12.8,CDU,169,12.6,LINKE,126,9.4,FDP,30,2.2,GRÜNE,157,11.7,andere Parteien,9,1339,164,1737,1348,100.0,77.6
14521450,"Oelsnitz/Erzgeb., Stadt",SPD,1655,25.1,SPD,1637,24.8,AfD,821,12.4,CDU,816,12.4,LINKE,370,5.6,FDP,195,3.0,GRÜNE,1101,16.7,andere Parteien,60,6595,SPD,1660,25.2,SPD,1645,24.9,AfD,830,12.6,CDU,826,12.5,LINKE,391,5.9,FDP,171,2.6,GRÜNE,1074,16.3,andere Parteien,58,6597,163,9304,6655,100.0,71.5
14521460,"Olbernhau, Stadt",SPD,1860,25.2,SPD,1859,25.2,AfD,926,12.5,CDU,924,12.5,LINKE,837,11.3,FDP,217,2.9,GRÜNE,766,10.4,andere Parteien,69,7389,AfD,1842,24.9,AfD,1832,24.8,SPD,928,12.6,LINKE,913,12.4,CDU,708,9.6,FDP,178,2.4,GRÜNE,984,13.3,andere Parteien,73,7385,164,9381,7458,100.0,79.5
14521495,"Pockau-Lengefeld, Stadt",SPD,1177,25.1,SPD,1154,24.6,AfD,590,12.6,CDU,585,12.5,LINKE,396,8.4,FDP,103,2.2,GRÜNE,693,14.8,andere Parteien,46,4698,AfD,1181,25.2,AfD,1163,24.8,SPD,587,12.5,CDU,587,12.5,LINKE,376,8.0,FDP,96,2.0,GRÜNE,705,15.0,andere Parteien,49,4695,164,6146,4744,100.0,77.2
14521500,Raschau-Markersbach,SPD,890,25.1,SPD,883,24.9,AfD,449,12.7,CDU,440,12.4,LINKE,206,5.8,FDP,90,2.5,GRÜNE,589,16.6,andere Parteien,35,3547,SPD,903,25.5,SPD,882,24.9,AfD,448,12.6,LINKE,447,12.6,CDU,255,7.2,FDP,78,2.2,GRÜNE,531,15.0,andere Parteien,38,3544,164,4235,3582,100.0,84.6
14521510,"Scheibenberg, Stadt",AfD,334,25.7,AfD,333,25.6,SPD,168,12.9,LINKE,166,12.8,CDU,87,6.7,FDP,37,2.8,GRÜNE,176,13.5,andere Parteien,17,1301,AfD,334,25.5,AfD,333,25.4,SPD,160,12.2,CDU,160,12.2,LINKE,104,7.9,FDP,37,2.8,GRÜNE,181,13.8,andere Parteien,9,1309,164,1706,1318,100.0,77.3
14521520,"Schlettau, Stadt",AfD,342,25.7,AfD,319,23.9,SPD,166,12.5,LINKE,161,12.1,CDU,98,7.4,FDP,28,2.1,GRÜNE,219,16.4,andere Parteien,14,1333,AfD,334,25.0,AfD,321,24.0,SPD,175,13.1,LINKE,167,12.5,CDU,100,7.5,FDP,33,2.5,GRÜNE,208,15.5,andere Parteien,9,1338,164,1931,1347,100.0,69.8
14521530,"Schneeberg, Stadt",SPD,2051,25.1,SPD,2040,24.9,AfD,1024,12.5,CDU,1012,12.4,LINKE,516,6.3,FDP,205,2.5,GRÜNE,1329,16.3,andere Parteien,78,8177,AfD,2056,25.1,AfD,2021,24.7,SPD,1020,12.5,LINKE,1014,12.4,CDU,515,6.3,FDP,160,2.0,GRÜNE,1389,17.0,andere Parteien,80,8175,164,11456,8255,100.0,72.1
14521540,Schönheide,AfD,798,25.4,AfD,780,24.9,SPD,400,12.8,CDU,397,12.7,LINKE,191,6.1,FDP,84,2.7,GRÜNE,487,15.5,andere Parteien,28,3137,SPD,775,24.7,SPD,771,24.6,AfD,397,12.7,CDU,392,12.5,LINKE,235,7.5,FDP,73,2.3,GRÜNE,490,15.6,andere Parteien,32,3133,164,4208,3165,100.0,75.2
14521550,"Schwarzenberg/Erzgeb., Stadt",AfD,2407,25.4,AfD,2351,24.8,SPD,1206,12.7,LINKE,1202,12.7,CDU,583,6.1,FDP,257,2.7,GRÜNE,1479,15.6,andere Parteien,105,9485,SPD,2377,25.1,SPD,2372,25.0,AfD,1198,12.6,LINKE,1187,12.5,CDU,669,7.1,FDP,217,2.3,GRÜNE,1469,15.5,andere Parteien,101,9489,164,14081,9590,100.0,68.1
14521560,Sehmatal,SPD,1003,24.7,SPD,990,24.4,AfD,511,12.6,CDU,505,12.5,LINKE,280,6.9,FDP,105,2.6,GRÜNE,661,16.3,andere Parteien,40,4055,AfD,1037,25.5,AfD,1023,25.2,SPD,505,12.4,LINKE,490,12.1,CDU,291,7.2,FDP,105,2.6,GRÜNE,609,15.0,andere Parteien,35,4060,164,5187,4095,100.0,78.9
14521570,"Seiffen/Erzgeb., Kurort",AfD,407,26.1,AfD,394,25.2,SPD,211,13.5,FDP,196,12.6,CDU,187,12.0,LINKE,32,2.0,GRÜNE,134,8.6,andere Parteien,11,1561,AfD,401,25.7,AfD,396,25.4,SPD,198,12.7,LINKE,187,12.0,CDU,152,9.7,FDP,23,1.5,GRÜNE,205,13.1,andere Parteien,10,1562,164,1765,1572,100.0,89.1
14521590,"Stollberg/Erzgeb., Stadt",AfD,1640,25.0,AfD,1636,24.9,SPD,828,12.6,LINKE,827,12.6,CDU,392,6.0,FDP,206,3.1,GRÜNE,1035,15.8,andere Parteien,69,6564,AfD,1633,24.9,AfD,1624,24.7,SPD,824,12.6,CDU,812,12.4,LINKE,452,6.9,FDP,160,2.4,GRÜNE,1059,16.1,andere Parteien,69,6564,163,9279,6633,100.0,71.5
14521600,Stützengrün,AfD,464,25.2,AfD,456,24.8,SPD,230,12.5,CDU,230,12.5,LINKE,111,6.0,FDP,38,2.1,GRÜNE,311,16.9,andere Parteien,20,1840,SPD,466,25.3,SPD,464,25.2,AfD,232,12.6,LINKE,231,12.5,CDU,138,7.5,FDP,30,1.6,GRÜNE,283,15.3,andere Parteien,16,1844,164,2602,1860,100.0,71.5
14521610,Tannenberg,SPD,144,26.3,SPD,139,25.4,AfD,70,12.8,LINKE,69,12.6,CDU,47,8.6,FDP,15,2.7,GRÜNE,64,11.7,andere Parteien,6,548,AfD,142,26.0,AfD,133,24.4,SPD,67,12.3,CDU,67,12.3,LINKE,43,7.9,FDP,16,2.9,GRÜNE,78,14.3,andere Parteien,8,546,164,890,554,100.0,62.2
14521620,"Thalheim/Erzgeb., Stadt",SPD,916,25.0,SPD,904,24.7,AfD,464,12.7,LINKE,455,12.4,CDU,289,7.9,FDP,145,4.0,GRÜNE,493,13.4,andere Parteien,29,3666,SPD,915,25.0,SPD,902,24.7,AfD,458,12.5,CDU,448,12.3,LINKE,272,7.4,FDP,114,3.1,GRÜNE,546,14.9,andere Parteien,40,3655,163,5997,3695,100.0,61.6
14521630,Thermalbad Wiesenbad,AfD,391,25.3,AfD,387,25.0,SPD,193,12.5,CDU,189,12.2,LINKE,102,6.6,FDP,46,3.0,GRÜNE,240,15.5,andere Parteien,14,1548,SPD,391,25.3,SPD,385,24.9,AfD,193,12.5,LINKE,192,12.4,CDU,108,7.0,FDP,39,2.5,GRÜNE,237,15.3,andere Parteien,17,1545,164,2650,1562,100.0,58.9
14521640,"Thum, Stadt",SPD,699,25.1,SPD,697,25.0,AfD,352,12.6,LINKE,344,12.3,CDU,234,8.4,FDP,69,2.5,GRÜNE,395,14.2,andere Parteien,27,2790,AfD,694,24.9,AfD,686,24.6,SPD,361,12.9,CDU,355,12.7,LINKE,238,8.5,FDP,57,2.0,GRÜNE,397,14.2,andere Parteien,29,2788,164,4230,2817,100.0,66.6
14521670,"Wolkenstein, Stadt",AfD,755,25.4,AfD,744,25.0,SPD,362,12.2,LINKE,361,12.1,CDU,277,9.3,FDP,89,3.0,GRÜNE,390,13.1,andere Parteien,19,2978,SPD,730,24.7,SPD,718,24.3,AfD,371,12.5,CDU,353,11.9,LINKE,245,8.3,FDP,73,2.5,GRÜNE,470,15.9,andere Parteien,37,2960,164,3198,2997,100.0,93.7
14521690,"Zschopau, Stadt, Motorradstadt",AfD,1310,25.1,AfD,1305,25.0,SPD,663,12.7,CDU,652,12.5,LINKE,409,7.8,FDP,170,3.3,GRÜNE,714,13.7,andere Parteien,43,5223,SPD,1314,25.2,SPD,1303,24.9,AfD,658,12.6,CDU,650,12.4,LINKE,373,7.1,FDP,155,3.0,GRÜNE,770,14.7,andere Parteien,43,5223,164,7549,5266,100.0,69.8
14521700,Zschorlau,SPD,872,25.1,SPD,860,24.7,AfD,429,12.3,CDU,424,12.2,LINKE,198,5.7,FDP,74,2.1,GRÜNE,623,17.9,andere Parteien,34,3480,AfD,863,24.8,AfD,855,24.5,SPD,445,12.8,LINKE,429,12.3,CDU,227,6.5,FDP,71,2.0,GRÜNE,596,17.1,andere Parteien,28,3486,164,4400,3514,100.0,79.9
14521710,"Zwönitz, Stadt",SPD,2008,25.2,SPD,1982,24.9,AfD,1019,12.8,CDU,1002,12.6,LINKE,489,6.1,FDP,251,3.2,GRÜNE,1208,15.2,andere Parteien,83,7959,AfD,2012,25.3,AfD,2007,25.2,SPD,1006,12.6,CDU,992,12.5,LINKE,526,6.6,FDP,196,2.5,GRÜNE,1228,15.4,andere Parteien,75,7967,163,10044,8042,100.0,80.1
14522010,Altmittweida,SPD,247,24.8,SPD,245,24.6,AfD,124,12.5,LINKE,122,12.3,CDU,84,8.5,FDP,31,3.1,GRÜNE,141,14.2,andere Parteien,9,994,AfD,257,25.9,AfD,248,24.9,SPD,124,12.5,LINKE,121,12.2,CDU,86,8.7,FDP,29,2.9,GRÜNE,129,13.0,andere Parteien,9,994,161,1555,1003,100.0,64.5
