Alle Wahllokale mit Wahlgebäuden (Landtagswahl 2019),,,,,,
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
Leuben ,63401,42,91. Grundschule,"01259, Dresden",Bernard‐Shaw‐Str. 11,Nicht barrierefrei
Leuben ,63402,42,91. Grundschule,"01259, Dresden",Bernard‐Shaw‐Str. 11,Nicht barrierefrei
Leuben ,64100,42,92. Grundschule,"01259, Dresden",Großzschachwitzer Str. 29,Nicht barrierefrei
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
Leuben ,64200,42,Christliche Schule,"01259, Dresden",Rathener Str. 80,Barrierefrei
Leuben ,64300,42,Christliche Schule,"01259, Dresden",Rathener Str. 80,Barrierefrei
Leuben ,64400,42,Christliche Schule,"01259, Dresden",Rathener Str. 80,Barrierefrei
Leuben ,64500,42,Seniorenzentrum R. Fetscher,"01259, Dresden",Jonsdorfer Str. 20,Barrierefrei
Prohlis ,71100,42,J.‐A.‐Hülße‐Gymnasium,"01237, Dresden",Hülßestr. 16,Barrierefrei
Prohlis ,71200,42,"Palitzschhof Außenst. JugendKunstschule 01239, Dresden",,Gamigstr. 24,Barrierefrei
Prohlis ,71400,42,120. Grundschule,"01239, Dresden",Trattendorfer Str. 1,Nicht barrierefrei
Prohlis ,71500,42,120. Grundschule,"01239, Dresden",Trattendorfer Str. 1,Nicht barrierefrei
Prohlis ,72100,42,Jugendhaus Prohlis,"01239, Dresden",Niedersedlitzer Str. 50,Barrierefrei
Prohlis ,72200,42,VHS Dresden e. V. Prof. Victor Klemperer,"01239, Dresden",Boxberger Str. 1,Nicht barrierefrei
Prohlis ,72300,42,VHS Dresden e. V. Prof. Victor Klemperer,"01239, Dresden",Boxberger Str. 1,Nicht barrierefrei
Prohlis ,72500,42,Schule zur Lernförderung,"01239, Dresden",Georg‐Palitzsch‐Str. 42,Barrierefrei
Prohlis ,72700,42,Heimat‐ und Palitzsch‐Museum Prohlis,"01239, Dresden",Gamigstr. 24,Barrierefrei
Prohlis ,73101,42,89. Grundschule,"01257, Dresden",Sosaer Str. 10,Barrierefrei
Prohlis ,73102,42,89. Grundschule,"01257, Dresden",Sosaer Str. 10,Barrierefrei
Prohlis ,73200,42,89. Grundschule,"01257, Dresden",Sosaer Str. 10,Barrierefrei
Prohlis ,73300,42,89. Grundschule,"01257, Dresden",Sosaer Str. 10,Barrierefrei
Prohlis ,74100,43,90. Grundschule,"01259, Dresden",Kleinlugaer Str. 25,Barrierefrei
Prohlis ,74201,43,SRH Oberschule,"01257, Dresden",Urnenstr. 22,Barrierefrei
Prohlis ,74202,43,SRH Oberschule,"01257, Dresden",Urnenstr. 22,Barrierefrei
Prohlis ,74301,43,Kindertagesstätte.,"01239, Dresden",Fritz‐Meinhardt‐Str. 48,Nicht barrierefrei
Prohlis ,74302,43,SRH Oberschule,"01257, Dresden",Urnenstr. 22,Barrierefrei
Prohlis ,75100,43,Schule für Erziehungshilfe,"01219, Dresden",Karl‐Laux‐Str. 5,Nicht barrierefrei
Prohlis ,75201,43,Schule für Erziehungshilfe,"01219, Dresden",Karl‐Laux‐Str. 5,Nicht barrierefrei
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
Prohlis ,75202,43,68. Grundschule,"01219, Dresden",Heiligenbornstr. 15,Barrierefrei
Prohlis ,75300,43,Schule für Erziehungshilfe,"01219, Dresden",Karl‐Laux‐Str. 5,Nicht barrierefrei
Prohlis ,75500,43,68. Grundschule,"01219, Dresden",Heiligenbornstr. 15,Barrierefrei
Prohlis ,75600,43,Schule für Erziehungshilfe,"01219, Dresden",Karl‐Laux‐Str. 5,Nicht barrierefrei
Prohlis ,75700,43,116. Oberschule,"01219, Dresden",Feuerbachstr. 5,Nicht barrierefrei
Prohlis ,75800,43,116. Oberschule,"01219, Dresden",Feuerbachstr. 5,Nicht barrierefrei
Prohlis ,75901,43,Vitzthum‐Gymnasium.,"01217, Dresden",Paradiesstr. 35,Barrierefrei
Prohlis ,75902,43,116. Oberschule,"01219, Dresden",Feuerbachstr. 5,Nicht barrierefrei
Prohlis ,75903,43,116. Oberschule,"01219, Dresden",Feuerbachstr. 5,Nicht barrierefrei
Prohlis ,76100,45,TU‐Dresden Hörsaalkomplex,"01219, Dresden",August‐Bebel‐Str. 20,Barrierefrei
Prohlis ,76200,45,47. Grundschule,"01219, Dresden",Mockritzer Str. 19,Nicht barrierefrei
Prohlis ,76300,45,47. Grundschule,"01219, Dresden",Mockritzer Str. 19,Nicht barrierefrei
Prohlis ,76400,45,"Cultus gGmbH Seniorenheim Olga Körner 01217, Dresden",,Zschertnitzer Str. 25,Barrierefrei
Prohlis ,76500,45,Jugendhaus P.E.P.,"01219, Dresden",Rudolf‐Bergander‐Ring 5,Barrierefrei
Prohlis ,76600,45,"Kindertagesstätte ""Abenteuerland""","01219, Dresden",Heinz‐Lohmar‐Weg 2,Barrierefrei
Prohlis ,76700,45,129. Grundschule,"01219, Dresden",Otto‐Dix‐Ring 57,Nicht barrierefrei
Prohlis ,77100,43,J.‐A.‐Hülße‐Gymnasium,"01237, Dresden",Hülßestr. 16,Barrierefrei
Prohlis ,77200,43,J.‐A.‐Hülße‐Gymnasium,"01237, Dresden",Hülßestr. 16,Barrierefrei
Prohlis ,77300,43,J.‐A.‐Hülße‐Gymnasium,"01237, Dresden",Hülßestr. 16,Barrierefrei
Plauen ,81100,43,14. Grundschule,"01069, Dresden",Schweizer Str. 7,Barrierefrei
Plauen ,81200,43,14. Grundschule,"01069, Dresden",Schweizer Str. 7,Barrierefrei
Plauen ,81400,43,"Ehrenfried‐Walther‐von‐Tschirnhaus‐Gym. 01069, Dresden",,Bernhardtstraße 18,Barrierefrei
Plauen ,81500,43,"Ehrenfried‐Walther‐von‐Tschirnhaus‐Gym. 01069, Dresden",,Bernhardtstraße 18,Barrierefrei
Plauen ,81700,43,Willers‐Bau,"01069, Dresden",Zellescher Weg 12,Barrierefrei
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
Plauen ,81800,43,BSZ Dienstleistung und Gestaltung,"01187, Dresden",Chemnitzer Str. 83,Nicht barrierefrei
Plauen ,81900,43,BSZ Dienstleistung und Gestaltung,"01187, Dresden",Chemnitzer Str. 83,Nicht barrierefrei
Plauen ,82100,43,46. Oberschule,"01069, Dresden",Andreas‐Schubert‐Str. 41,Barrierefrei
Plauen ,82200,43,46. Oberschule,"01069, Dresden",Andreas‐Schubert‐Str. 41,Barrierefrei
Plauen ,82300,43,46. Oberschule,"01069, Dresden",Andreas‐Schubert‐Str. 41,Barrierefrei
Plauen ,82400,43,BSZ für Elektrotechnik,"01219, Dresden",Strehlener Platz 2,Barrierefrei
Plauen ,82500,43,BSZ für Elektrotechnik,"01219, Dresden",Strehlener Platz 2,Barrierefrei
Plauen ,83100,43,Willers‐Bau,"01069, Dresden",Zellescher Weg 12,Barrierefrei
Plauen ,83200,43,Vitzthum‐Gymnasium,"01217, Dresden",Paradiesstr. 35,Barrierefrei
Plauen ,83300,43,Vitzthum‐Gymnasium,"01217, Dresden",Paradiesstr. 35,Barrierefrei
Plauen ,83400,43,Vitzthum‐Gymnasium,"01217, Dresden",Paradiesstr. 35,Barrierefrei
Plauen ,83500,43,Vitzthum‐Gymnasium,"01217, Dresden",Paradiesstr. 35,Barrierefrei
Plauen ,83700,43,Vitzthum‐Gymnasium,"01217, Dresden",Paradiesstr. 35,Barrierefrei
Plauen ,83800,43,Vitzthum‐Gymnasium,"01217, Dresden",Paradiesstr. 35,Barrierefrei
Plauen ,84100,43,Ausweichstandort der 117. Grundschule,"01189, Dresden",Höckendorfer Weg 2,Nicht barrierefrei
Plauen ,84200,43,Ausweichstandort der 117. Grundschule,"01189, Dresden",Höckendorfer Weg 2,Nicht barrierefrei
Plauen ,84300,43,Ausweichstandort der 117. Grundschule,"01189, Dresden",Höckendorfer Weg 2,Nicht barrierefrei
Plauen ,84400,43,71. Grundschule,"01217, Dresden",Franzweg 4,Barrierefrei 
Plauen ,84501,43,Hort 70. Grundschule,"01217, Dresden",Südhöhe 36,Barrierefrei
Plauen ,84502,43,Hort 70. Grundschule,"01217, Dresden",Südhöhe 36,Barrierefrei
Plauen ,85100,43,Ausweichstandort der 117. Grundschule,"01189, Dresden",Höckendorfer Weg 2,Nicht barrierefrei
Plauen ,85200,43,80. Grundschule,"01189, Dresden",Oskar‐Seyffert‐Str. 3,Barrierefrei
Plauen ,85301,43,80. Grundschule,"01189, Dresden",Oskar‐Seyffert‐Str. 3,Barrierefrei
Plauen ,85302,43,80. Grundschule,"01189, Dresden",Oskar‐Seyffert‐Str. 3,Barrierefrei
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
Plauen ,86100,43,BSZ Dienstleistung und Gestaltung,"01187, Dresden",Chemnitzer Str. 83,Nicht barrierefrei
Plauen ,86200,43,49. Grundschule,"01187, Dresden",Bernhardstr. 80,Barrierefrei
Plauen ,86300,43,49. Grundschule,"01187, Dresden",Bernhardstr. 80,Barrierefrei
Plauen ,86400,43,55. Oberschule,"01187, Dresden",Nöthnitzer Str. 6,Nicht barrierefrei
Plauen ,86500,43,55. Oberschule,"01187, Dresden",Nöthnitzer Str. 6,Nicht barrierefrei
Plauen ,86600,43,39. Grundschule,"01187, Dresden",Schleiermacherstr. 8‐10,Barrierefrei
Plauen ,86700,43,55. Oberschule,"01187, Dresden",Nöthnitzer Str. 6,Nicht barrierefrei
Plauen ,86800,43,39. Grundschule,"01187, Dresden",Schleiermacherstr. 8‐10,Barrierefrei
Cossebaude ,90110,46,Grundschule Cossebaude,"01156, Dresden",Bahnhofstr. 5,Barrierefrei
Cossebaude ,90210,46,Grundschule Cossebaude,"01156, Dresden",Bahnhofstr. 5,Barrierefrei
Cossebaude ,90311,46,Bürgersaal,"01156, Dresden",Dresdner Str. 3,Barrierefrei 
Cossebaude ,90312,46,Stadtteilfeuerwehr Cossebaude,"01156, Dresden",Dresdner Straße 40 b,Nicht barrierefrei
Cossebaude ,90410,46,"Vereinsraum Feuerwehr‐ u. Heimatverein 01156, Dresden",,Weistropper Str. 6,Barrierefrei
Oberwartha ,90510,46,Kulturraum Oberwartha,"01156, Dresden",Max‐Schwan‐Str. 4,Nicht barrierefrei
Mobschatz ,90610,46,Dorfklub Mobschatz,"01156, Dresden",Am Tummelsgrund 7 b,Barrierefrei
Mobschatz ,90710,46,Kindergarten Brabschütz,"01156, Dresden",Oberlandstr. 6,Nicht barrierefrei
Cotta ,91101,47,Gymnasium Cotta,"01157, Dresden",Cossebauder Str. 35,Barrierefrei
Cotta ,91102,47,Gymnasium Cotta,"01157, Dresden",Cossebauder Str. 35,Barrierefrei
Cotta ,91200,47,12. Grundschule,"01157, Dresden",Hebbelstr. 20,Nicht barrierefrei
Cotta ,91300,47,12. Grundschule,"01157, Dresden",Hebbelstr. 20,Nicht barrierefrei
Cotta ,91400,47,12. Grundschule,"01157, Dresden",Hebbelstr. 20,Nicht barrierefrei
Cotta ,91501,47,Gymnasium Cotta,"01157, Dresden",Cossebauder Str. 35,Barrierefrei
Cotta ,91502,47,Gymnasium Cotta,"01157, Dresden",Cossebauder Str. 35,Barrierefrei
Cotta ,92100,46,35. Grundschule,"01159, Dresden",Bünaustr. 12,Barrierefrei
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
Cotta ,92200,46,36. Oberschule,"01159, Dresden",Emil‐Ueberall‐Str. 34,Barrierefrei
Cotta ,92300,46,37. Grundschule,"01159, Dresden",Stollestr. 43,Barrierefrei
Cotta ,92400,46,37. Grundschule,"01159, Dresden",Stollestr. 43,Barrierefrei
Cotta ,92500,46,37. Grundschule,"01159, Dresden",Stollestr. 43,Barrierefrei
Cotta ,93101,46,35. Grundschule,"01159, Dresden",Bünaustr. 12,Barrierefrei
Cotta ,93102,46,35. Grundschule,"01159, Dresden",Bünaustr. 12,Barrierefrei
Cotta ,93200,46,35. Oberschule,"01159, Dresden",Clara‐Zetkin‐Str. 20,Nicht barrierefrei
Cotta ,93300,46,35. Oberschule,"01159, Dresden",Clara‐Zetkin‐Str. 20,Nicht barrierefrei
Cotta ,93400,46,35. Oberschule,"01159, Dresden",Clara‐Zetkin‐Str. 20,Nicht barrierefrei
Cotta ,93500,46,35. Oberschule,"01159, Dresden",Clara‐Zetkin‐Str. 20,Nicht barrierefrei
Cotta ,93600,46,35. Oberschule,"01159, Dresden",Clara‐Zetkin‐Str. 20,Nicht barrierefrei
Cotta ,94101,46,36. Oberschule,"01159, Dresden",Emil‐Ueberall‐Str. 34,Barrierefrei
Cotta ,94102,46,36. Oberschule,"01159, Dresden",Emil‐Ueberall‐Str. 34,Barrierefrei
Cotta ,94200,46,Grundschule Naußlitz (ehem. 38. MS),"01169, Dresden",Saalhausener Straße 61,Barrierefrei
Cotta ,94400,46,Grundschule Naußlitz (ehem. 38. MS),"01169, Dresden",Saalhausener Straße 61,Barrierefrei
Cotta ,94501,46,81. Grundschule,"01187, Dresden",Robert‐Weber‐Str. 5,Barrierefrei
Cotta ,94502,46,81. Grundschule,"01187, Dresden",Robert‐Weber‐Str. 5,Barrierefrei
Cotta ,94600,46,Eisenbahnerwohnungsgenossenschaft,"01169, Dresden",Kesselsdorfer Str. 161,Barrierefrei
Cotta ,95100,46,135. Grundschule,"01169, Dresden",Amalie‐Dietrich‐Platz 10,Nicht barrierefrei
Cotta ,95200,46,135. Grundschule,"01169, Dresden",Amalie‐Dietrich‐Platz 10,Nicht barrierefrei
Cotta ,95400,46,138. Oberschule,"01169, Dresden",Omsewitzer Ring 2,Nicht barrierefrei
Cotta ,95500,46,138. Oberschule,"01169, Dresden",Omsewitzer Ring 2,Nicht barrierefrei
Cotta ,95600,46,138. Oberschule,"01169, Dresden",Omsewitzer Ring 2,Nicht barrierefrei
Cotta ,96100,46,37. Grundschule,"01159, Dresden",Stollestr. 43,Barrierefrei
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
Cotta ,96300,46,"Berufsschulzentrum ""GEHE""","01169, Dresden",Leutewitzer Ring 141,Nicht barrierefrei
Cotta ,96600,46,138. Oberschule,"01169, Dresden",Omsewitzer Ring 2,Nicht barrierefrei
Cotta ,97100,46,138. Oberschule,"01169, Dresden",Omsewitzer Ring 2,Nicht barrierefrei
Cotta ,97300,46,Schule f. geistig Behinderte,"01169, Dresden",Lise‐Meitner‐Str. 22,Barrierefrei
Cotta ,97600,46,Schule f. geistig Behinderte,"01169, Dresden",Lise‐Meitner‐Str. 22,Barrierefrei
Cotta ,98100,46,77. Grundschule,"01157, Dresden",Am Urnenfeld 27,Nicht barrierefrei
Cotta ,98200,46,76. Oberschule,"01157, Dresden",Merbitzer Str. 9,Nicht barrierefrei
Cotta ,98300,46,76. Oberschule,"01157, Dresden",Merbitzer Str. 9,Nicht barrierefrei
Cotta ,98401,46,76. Oberschule,"01157, Dresden",Merbitzer Str. 9,Nicht barrierefrei
Cotta ,98402,46,76. Oberschule,"01157, Dresden",Merbitzer Str. 9,Nicht barrierefrei
Cotta ,98500,46,75. Grundschule,"01157, Dresden",Warthaer Str. 60,Barrierefrei
Cotta ,98600,46,75. Grundschule,"01157, Dresden",Warthaer Str. 60,Barrierefrei
Gompitz ,99110,46,Gemeindezentrum Gompitz,"01156, Dresden",Altnossener Str. 46 a,Nicht barrierefrei
Gompitz ,99310,46,Gemeindezentrum Gompitz,"01156, Dresden",Altnossener Str. 46 a,Nicht barrierefrei
Altfranken ,99810,46,Ortschaftszentrum,"01156, Dresden",Otto‐Harzer‐Str. 2 b,Barrierefrei
